# smackdebt gate baseline v1
path	signal	high	watch
crates/analysis/src/architecture.rs	file_size	1	0
crates/analysis/src/architecture.rs	parameters	0	3
crates/analysis/src/change_coupling.rs	file_cycle	0	1
crates/analysis/src/comparison.rs	cognitive	1	0
crates/analysis/src/comparison.rs	cyclomatic	1	0
crates/analysis/src/comparison.rs	file_cycle	0	1
crates/analysis/src/comparison.rs	nesting	0	1
crates/analysis/src/comparison.rs	parameters	0	1
crates/analysis/src/cycle_witness.rs	cognitive	1	0
crates/analysis/src/cycle_witness.rs	cyclomatic	0	1
crates/analysis/src/cycle_witness.rs	nesting	0	1
crates/analysis/src/evolution.rs	file_size	1	0
crates/analysis/src/evolution.rs	parameters	1	2
crates/analysis/src/gate.rs	cognitive	0	1
crates/analysis/src/gate.rs	cyclomatic	0	1
crates/analysis/src/gate.rs	file_size	0	1
crates/analysis/src/orphan.rs	parameters	0	1
crates/analysis/src/problem.rs	file_size	1	0
crates/analysis/src/report.rs	cognitive	0	2
crates/analysis/src/report.rs	cyclomatic	0	2
crates/analysis/src/report.rs	file_size	1	0
crates/analysis/src/report.rs	nesting	0	1
crates/analysis/src/report.rs	parameters	0	5
crates/analysis/src/source.rs	file_size	0	1
crates/analysis/src/strongly_connected_components.rs	cognitive	1	0
crates/analysis/src/strongly_connected_components.rs	cyclomatic	0	1
crates/analysis/src/strongly_connected_components.rs	nesting	0	1
crates/analysis/src/verdict.rs	file_size	1	0
crates/cli/src/app.rs	cognitive	2	0
crates/cli/src/app.rs	cyclomatic	1	1
crates/cli/src/app.rs	file_size	0	1
crates/cli/tests/acceptance.rs	cognitive	1	0
crates/cli/tests/acceptance.rs	cyclomatic	1	0
crates/cli/tests/acceptance.rs	file_size	1	0
crates/cli/tests/acceptance.rs	logical_lines	1	0
crates/cli/tests/support/mod.rs	file_size	1	0
crates/cli/tests/unified_acceptance.rs	cognitive	1	2
crates/cli/tests/unified_acceptance.rs	cyclomatic	1	1
crates/cli/tests/unified_acceptance.rs	file_size	1	0
crates/cli/tests/unified_acceptance.rs	logical_lines	1	2
crates/discovery/src/glob.rs	cognitive	1	0
crates/discovery/src/glob.rs	cyclomatic	0	1
crates/discovery/src/glob.rs	nesting	0	1
crates/discovery/src/inventory.rs	cognitive	0	1
crates/discovery/src/inventory.rs	cyclomatic	0	1
crates/discovery/src/inventory.rs	file_size	1	0
crates/discovery/src/inventory.rs	nesting	0	1
crates/languages/src/analyzer.rs	cognitive	0	1
crates/languages/src/analyzer.rs	cyclomatic	0	4
crates/languages/src/analyzer.rs	file_cycle	0	1
crates/languages/src/dependency.rs	cognitive	2	1
crates/languages/src/dependency.rs	cyclomatic	1	1
crates/languages/src/dependency.rs	file_size	0	1
crates/languages/src/dependency.rs	nesting	0	2
crates/languages/src/engine.rs	cyclomatic	0	1
crates/languages/src/engine.rs	file_size	0	1
crates/languages/src/vue.rs	cognitive	0	1
crates/languages/src/vue.rs	cyclomatic	0	1
crates/languages/src/vue.rs	parameters	0	1
crates/languages/tests/language_fixtures.rs	file_size	1	0
crates/languages/tests/language_fixtures.rs	parameters	1	0
crates/output/src/json.rs	cyclomatic	0	1
crates/output/src/json.rs	file_size	1	0
crates/output/src/output.rs	cognitive	1	1
crates/output/src/output.rs	container_size	0	1
crates/output/src/output.rs	cyclomatic	0	3
crates/output/src/output.rs	file_size	1	0
crates/project/src/project.rs	cognitive	2	7
crates/project/src/project.rs	container_size	1	0
crates/project/src/project.rs	cyclomatic	2	5
crates/project/src/project.rs	file_cycle	0	1
crates/project/src/project.rs	file_size	1	0
crates/project/src/project.rs	logical_lines	1	1
crates/project/src/project.rs	nesting	0	4
crates/project/src/project.rs	parameters	0	13
crates/project/src/requests.rs	parameters	0	2
scripts/check-api-snapshots.py	cognitive	0	1
scripts/check-api-snapshots.py	cyclomatic	0	1
scripts/check-entry-modules.py	cognitive	1	0
scripts/check-entry-modules.py	cyclomatic	0	1
scripts/check-entry-modules.py	nesting	0	1
scripts/performance/check-baselines.py	cognitive	0	2
scripts/performance/check-baselines.py	cyclomatic	0	2
scripts/performance/check-report.py	cognitive	1	0
scripts/performance/check-report.py	cyclomatic	1	0
scripts/performance/check-report.py	logical_lines	0	1
scripts/performance/check-workload-reviews.py	cognitive	1	0
scripts/performance/check-workload-reviews.py	cyclomatic	1	0
scripts/performance/check-workload-reviews.py	nesting	0	1
scripts/performance/record-baseline.py	cognitive	0	1
scripts/performance/record-baseline.py	cyclomatic	0	1
scripts/performance/release_head.py	cyclomatic	0	1
scripts/performance/review-workloads.py	cognitive	1	2
scripts/performance/review-workloads.py	cyclomatic	1	2
scripts/performance/review-workloads.py	file_size	0	1
scripts/performance/review-workloads.py	parameters	0	1
scripts/performance/test_workload.py	file_size	1	0
scripts/performance/workload.py	cognitive	1	1
scripts/performance/workload.py	cyclomatic	1	1
